Index,cond_mean,cond_var,cond_quant_0.005,cond_quant_0.01,cond_quant_0.025,cond_quant_0.05,cond_quant_0.075,cond_quant_0.1,cond_quant_0.125,cond_quant_0.15,cond_quant_0.175,cond_quant_0.2,cond_quant_0.225,cond_quant_0.25,cond_quant_0.275,cond_quant_0.3,cond_quant_0.325,cond_quant_0.35,cond_quant_0.375,cond_quant_0.4,cond_quant_0.425,cond_quant_0.45,cond_quant_0.475,cond_quant_0.5,cond_quant_0.525,cond_quant_0.55,cond_quant_0.575,cond_quant_0.6,cond_quant_0.625,cond_quant_0.65,cond_quant_0.675,cond_quant_0.7,cond_quant_0.725,cond_quant_0.75,cond_quant_0.775,cond_quant_0.8,cond_quant_0.825,cond_quant_0.85,cond_quant_0.875,cond_quant_0.9,cond_quant_0.925,cond_quant_0.95,cond_quant_0.975,cond_quant_0.99
"Empty [ARCH, SkewStudent]",-3.9895541335701696,1143.2334872862518,-46.30211103462676,-36.24474187703106,-26.169040106274295,-20.279184308844517,-17.317774969679434,-15.372814352502006,-13.929190726609722,-12.778339978697613,-11.816485681171914,-10.984915453685918,-10.247313285232895,-9.579668271590705,-8.965245050814591,-8.391854534134163,-7.850269674039565,-7.333252965293312,-6.834929382877144,-6.350362826969336,-5.875255955196244,-5.405725582403949,-4.938137874218175,-4.469350627793558,-3.996642337122904,-3.5171933003270683,-3.0279683657173275,-2.5256063919991187,-2.006282499087278,-1.4655285076930396,-0.8979896262900166,-0.2970829328156629,0.3454986921893627,1.0405332526521947,1.8024384765950936,2.651185789809786,3.6156074115688885,4.739501169896158,6.093894339868563,7.804615147824087,10.124998158752303,13.681709837165963,20.804580557764577,33.058359235467414
"Empty [ARCH, StudentT]",-4.210730678365877,1203.7163556529156,-51.17224913183072,-39.69975517357473,-28.238569402273416,-21.568021475013914,-18.229675317759604,-16.04632884919971,-14.432342822396967,-13.150909155840502,-12.084356433327162,-11.166215982302086,-10.355457596498615,-9.625028514385056,-8.956146295754138,-8.335205806113974,-7.751987485509313,-7.198561333806532,-6.668584620890301,-6.156832785842542,-5.658873419848867,-5.1708302373390795,-4.689204233027321,-4.210730678365876,-3.7322571237044326,-3.250631119392674,-2.7625879368828885,-2.2646285708892133,-1.7528767358414539,-1.2229000229252227,-0.6694738712224395,-0.08625555061778448,0.5346849390223839,1.2035671576533022,1.933996239766859,2.7447546255703323,3.6628950765954045,4.729447799108746,6.010881465665214,7.6248674924679545,9.808213961027855,13.146560118282151,19.81710804554165,31.278293816842968
"Microstructure [ARCH, SkewStudent]",-0.9736628098943116,777.9536824392889,-35.547580869941356,-27.306584785119895,-19.057109941045795,-14.239235050328434,-11.818591731482602,-10.229629926129633,-9.050760285432522,-8.111337321284129,-7.326473544335618,-6.6481544857396955,-6.046688436184876,-5.502449610561472,-5.001763549349027,-4.534674743237101,-4.093651110675227,-3.672788975512546,-3.26730069639179,-2.8731688700862428,-2.4869016153955363,-2.1053498886961277,-1.7255688336567099,-1.3449706116331885,-0.9613248633952464,-0.5723325763494709,-0.17552298333586275,0.23183648664136197,0.6528521782105147,1.0911499588623796,1.551072544836534,2.0379563323768135,2.558533396879736,3.1215365131021477,3.7386462003405057,4.426041536917092,5.207079908285919,6.11724414848875,7.214081756248872,8.599552987831276,10.478971442890742,13.36033030491139,19.1329305340282,29.070088634975647
"CIP [ARCH, SkewStudent]",-0.42266030620104666,886.0659030614061,-39.44634000776579,-30.062130465879022,-20.64565916047169,-15.136785256934463,-12.368367668266398,-10.552312161441531,-9.206462033936408,-8.135520784500423,-7.2423080266476,-6.471859024922407,-5.79020075738413,-5.1749016623046264,-4.6103616595899695,-4.085257248017663,-3.5910599543191397,-3.1211288075572416,-2.67012763467961,-2.233634563856962,-1.8078691736739125,-1.3894932059764111,-0.9754574241009032,-0.5628815341140444,-0.1490632207346636,0.2686132137460365,0.6928893034857725,1.1267390811867144,1.5734900772122151,2.036977174304747,2.5217478051681,3.0333471656749253,3.578730050765163,4.166878544337872,4.8097668043351085,5.523938639656644,6.3332305305376355,7.273794351511319,8.404178938881268,9.827978655078267,11.753502359045466,14.695299372742896,20.562620340264633,30.610605431413113
"Microstructure [ARCH, StudentT]",-0.9401169980402214,791.1389053675733,-38.51757814182154,-29.32553486291085,-20.148481081220538,-14.811021136631407,-12.141138287034842,-10.39551931370107,-9.105403707799542,-8.08128909137878,-7.229027611933013,-6.49544603777119,-5.847725556648262,-5.2642297949630725,-4.7299383686052465,-4.2339721903659955,-3.7681600673353235,-3.326161948936236,-2.902907175427048,-2.494219277387021,-2.096555235300233,-1.7068167216679972,-1.3222070847006426,-0.940116998040221,-0.5580269113798003,-0.17341727441244462,0.21632123921978877,0.6139852813065784,1.0226731793466053,1.4459279528557936,1.887926071254883,2.3537381942855538,2.8497043725248035,3.3839957988826295,3.96749156056782,4.615212041690748,5.348793615852569,6.201055095298338,7.225169711719098,8.515285317620627,10.2609042909544,12.930787140550954,18.268247085140086,27.44530086683039
"CIP [ARCH, StudentT]",-0.4193879589868762,881.4151017958832,-40.29163903273011,-30.631191590359684,-20.94097206013952,-15.276547173582061,-12.433003720740418,-10.569658514602432,-9.190273311583622,-8.093891536486902,-7.180543010134207,-6.393705316682464,-5.698460223260062,-5.071768768961522,-4.497625247539951,-3.9644292509018606,-3.463462494976304,-2.9879566115192104,-2.532495539191864,-2.092616168228162,-1.6645306777796738,-1.2449254331524782,-0.8308085489705309,-0.41938795898687575,-0.007967369003221503,0.4061495151787261,0.8257547598059208,1.2538402502544095,1.6937196212181116,2.1491806935454583,2.6246865770025516,3.125653332928105,3.658849329566199,4.2329928509877695,4.859684305286308,5.554929398708713,6.341767092160453,7.255115618513146,8.35149739360987,9.730882596628684,11.59422780276667,14.437771255608302,20.102196142165752,29.792415672385925
