Index,Cross Validation Out-sample MIS,Threshold,Included,Weight,cond_mean,cond_var,cond_quant_0.005,cond_quant_0.01,cond_quant_0.025,cond_quant_0.05,cond_quant_0.075,cond_quant_0.1,cond_quant_0.125,cond_quant_0.15,cond_quant_0.175,cond_quant_0.2,cond_quant_0.225,cond_quant_0.25,cond_quant_0.275,cond_quant_0.3,cond_quant_0.325,cond_quant_0.35,cond_quant_0.375,cond_quant_0.4,cond_quant_0.425,cond_quant_0.45,cond_quant_0.475,cond_quant_0.5,cond_quant_0.525,cond_quant_0.55,cond_quant_0.575,cond_quant_0.6,cond_quant_0.625,cond_quant_0.65,cond_quant_0.675,cond_quant_0.7,cond_quant_0.725,cond_quant_0.75,cond_quant_0.775,cond_quant_0.8,cond_quant_0.825,cond_quant_0.85,cond_quant_0.875,cond_quant_0.9,cond_quant_0.925,cond_quant_0.95,cond_quant_0.975,cond_quant_0.99
"Empty [ARCH, SkewStudent]",321.05571260865594,321.05571260865594,True,0.16991809316459636,-23.479277923073006,6728.144519482241,-272.49664925191223,-213.30713640907848,-154.0097326829395,-119.34682134880401,-101.91836929869524,-90.47190953120372,-81.97591243633357,-75.20293890256573,-69.54224509643899,-64.64829759503624,-60.307369829689186,-56.37815310410214,-52.76215665938608,-49.387645411045995,-46.20031644561337,-43.15757568082954,-40.22484748729072,-37.37308198731881,-34.576988511194024,-31.81371378248418,-29.061872001086414,-26.302970711095405,-23.52099333678041,-20.69934540119887,-17.82016446467648,-14.86366957727458,-11.80735059887843,-8.624911452327861,-5.284838180358765,-1.7483890460557632,2.0333249141083805,6.123734284401664,10.607690111312081,15.602727999316905,21.278530992379487,27.892857562290885,35.86371660824563,45.931630955062026,59.587522259589,80.5194407632197,122.43887728666766,194.55467407725922
"Empty [ARCH, StudentT]",322.68195338493416,323.4950737730734,True,0.16906174613671632,-24.906466273930217,7119.980617492842,-302.6837844822028,-234.823998218204,-167.03109986476503,-127.57481788678767,-107.82850487666019,-94.91401346478119,-85.36728829670236,-77.78760989020938,-71.4789519774321,-66.0481524500062,-61.2525176932953,-56.932030659387124,-52.97559323983032,-49.3027310824856,-45.85299550402408,-42.57948056436861,-39.44466902345591,-36.417657610513814,-33.47222863339331,-30.585453868183457,-27.73663670334548,-24.906466273930214,-22.076295844514956,-19.227478679676974,-16.34070391446713,-13.395274937346624,-10.368263524404528,-7.233451983491829,-3.959937043836348,-0.5102014653748554,3.162660691969883,7.119098111526693,11.439585145434858,16.23521990214577,21.666019429571644,27.974677342348937,35.55435574884193,45.101080916920736,58.01557232879979,77.76188533892719,117.21816731690453,185.01106567034353
"Microstructure [ARCH, SkewStudent]",329.4684019502921,332.38469467384033,True,0.1655793823114305,-5.880338459428451,4698.372898722815,-214.68603381477521,-164.91536810881576,-115.09349579044914,-85.99642571166575,-71.3771942285276,-61.780819467542166,-54.66115502478063,-48.98760466461878,-44.247498946188834,-40.150859321576,-36.51836570335758,-33.23149013934702,-30.20764710875322,-27.386711315953843,-24.723193513161384,-22.18143904296351,-19.732533427661167,-17.352213965155602,-15.019391790688287,-12.715048572510518,-10.421399147456466,-8.1228145247184,-5.80582467439778,-3.4565449415253733,-1.06005337672857,1.4001531072589195,3.9428349659053303,6.589890260673197,9.367546388832363,12.308031977941052,15.452004719207796,18.85220532608943,22.579177118251724,26.730632009439184,31.447634576218952,36.94447982045924,43.568720063710856,51.93613400282397,63.28669244085798,80.68836903729095,115.55140662405643,175.56587196526124
"CIP [ARCH, SkewStudent]",329.46998978313354,340.25890748495914,True,0.16557858432560707,-2.5526266450611352,5351.331554562483,-238.23334502120957,-181.55808366353963,-124.68797969592737,-91.41753034419155,-74.69787061317207,-63.729933459816365,-55.6017680150718,-49.13389504829972,-43.739400576138166,-39.08632901580812,-34.969502734712435,-31.253447922518067,-27.843949012897603,-24.672618531295594,-21.687949374282546,-18.849833873561828,-16.126044594202206,-13.489875958019805,-10.91849638065979,-8.391744691112951,-5.891205242959954,-3.3994827072995673,-0.900256644552134,1.622270264237879,4.184655318245862,6.8048599749530645,9.502980615645182,12.30217773996105,15.22991524199248,18.319682935022,21.613483804932525,25.16556450406525,29.048242101628283,33.36143174647469,38.24909215362936,43.92955997985551,50.75643672828252,59.35537313057188,70.98443561959941,88.75120796929194,124.18647268917725,184.87055893181181
"Microstructure [ARCH, StudentT]",330.70596180484324,339.6520443804326,True,0.16495975515027603,-5.699068825507094,4795.95101633642,-233.49681931045887,-177.77387482295725,-122.14179793650612,-89.7856639223232,-73.60060807543292,-63.01851808782632,-55.19772807315728,-48.98945857440707,-43.82297733982128,-39.375943737634245,-35.44940734981733,-31.912206648024135,-28.673286792262385,-25.66669783492893,-22.842905312890302,-20.16347530284674,-17.597669036199406,-15.120168401770616,-12.709495315328883,-10.34686745329557,-8.015331275777722,-5.699068825507092,-3.3828063752364668,-1.0512701977186127,1.3113576643146878,3.722030750756428,6.199531385185219,8.765337651832555,11.444767661876128,14.268560183914744,17.275149141248196,20.514068997009947,24.051269698803146,27.977806086620067,32.42483968880708,37.591320923392885,43.79959042214308,51.62038043681213,62.202470424418735,78.38752627130896,110.74366028549187,166.37573717194297
"CIP [ARCH, StudentT]",330.8209074784084,339.42457370912916,True,0.16490243891137377,-2.54324897651923,5345.070137316748,-244.3362226703312,-185.75341755146695,-126.99006878481748,-92.6399104490649,-75.39611786713775,-64.0964353491646,-55.73157906125877,-49.0829098097023,-43.54418926449817,-38.77265466109169,-34.55655514181133,-30.756178031346924,-27.274461658855053,-24.041058925953966,-21.003100486814084,-18.11954165896283,-15.357538408227818,-12.690025581445955,-10.094033106898255,-7.549466468604257,-5.038182300123808,-2.5432489765192274,-0.048315652914651785,2.462968515565799,5.007535153859791,7.603527628407495,10.271040455189357,13.033043705924372,15.916602533775624,18.954560972915484,22.187963705816593,25.669680078308463,29.470057188772863,33.68615670805324,38.457691311459705,43.99641185666382,50.64508110822031,59.009937396126155,70.3096199140993,87.5534124960264,121.90357083177895,180.66691959842845
