,Cross Validation Out-sample RMSE (COND MEAN),Threshold,Included,Weight,cond_mean,outlier,weight_mean
"Empty [Constant, GeneralizedError]",102.31724485374176,102.31724485374176,True,0.12531741186553869,-11.890569693756746,False,-1.4900954196284062
"Empty [Constant, StudentT]",102.5161527461477,102.61560669235067,True,0.12507426362393753,-8.393982357878938,False,-1.049871162284031
"Empty [EGARCH, GeneralizedError]",102.58575591785393,102.75233763008495,True,0.12498940227677331,-16.784697482183702,False,-2.097909305694603
"Empty [Constant, SkewStudent]",102.60196640144586,102.77488268731045,True,0.12496965471514429,-4.630104649162212,False,-0.578622579300786
"Empty [GARCH, GeneralizedError]",102.64439935649946,102.73068688439312,True,0.12491799255164743,-16.43468519932287,False,-2.0529878833176847
"Empty [EWMA, GeneralizedError]",102.6445564926247,102.78414748572877,True,0.12491780131764543,-15.596058920321019,False,-1.9482253895469528
"Empty [RiskMetric, GeneralizedError]",102.64548454770815,102.78476331340399,True,0.12491667189046177,-16.54219986785175,False,-2.066396553238877
"Empty [gjrGARCH, GeneralizedError]",102.66181466391963,102.75943857859788,True,0.12489680175885151,-16.641242885755496,False,-2.078438013723102
