,Cross Validation Out-sample MIS,Threshold,Included,Weight
"Empty [ARCH, SkewStudent]",321.05571260865594,321.05571260865594,True,0.16991809316459636
"Empty [ARCH, StudentT]",322.68195338493416,323.4950737730734,True,0.16906174613671632
"Microstructure [ARCH, SkewStudent]",329.4684019502921,332.38469467384033,True,0.1655793823114305
"CIP [ARCH, SkewStudent]",329.46998978313354,340.25890748495914,True,0.16557858432560707
"Microstructure [ARCH, StudentT]",330.70596180484324,339.6520443804326,True,0.16495975515027603
"CIP [ARCH, StudentT]",330.8209074784084,339.42457370912916,True,0.16490243891137377
